Category	Touchpoint	Description
Product	Product Usage	Непосредственное использование продукта
Product	Packaging	Упаковка, тактильный и визуальный опыт
Product	Instructions & Manuals	Инструкции, гайды, вкладыши
Product	Product Updates	Обновления, патчи, версии
Digital Owned	Website	Сайт, лендинги, микросайты
Digital Owned	Mobile App	Приложение бренда
Digital Owned	User Account / Dashboard	Личный кабинет
Digital Owned	Checkout Flow	Корзина, оплата, подтверждение
Digital Owned	Error & System Messages	Ошибки, системные уведомления
Marketing Ads	Ad Creatives	Баннеры, видео, тексты
Marketing Ads	Retargeting	Повторные касания
Marketing Ads	Influencer Integrations	Нативные упоминания
Search & Discovery	Search Results	SERP, сниппеты, AI-ответы
Search & Discovery	App Store Page	Карточка приложения
Search & Discovery	Marketplace Card	Карточка товара
Social & Community	Social Profiles	Официальные аккаунты
Social & Community	Comments & Replies	Ответы бренда
Social & Community	DM & Mentions	Личные сообщения и теги
Social & Community	Community Moderation	Форумы, чаты, Discord
Content	Blog & Articles	Экспертный контент
Content	Video Content	YouTube, Shorts, Reels
Content	Podcasts & Audio	Аудиоконтент бренда
Content	UGC with Brand	Контент пользователей
Commerce	Pricing	Display цены и скидок
Commerce	Delivery & Fulfillment	Доставка, сроки, трекинг
Commerce	Return & Refund	Возвраты и обмен
Commerce	Receipts & Invoices	Чеки, счета, подтверждения
Customer Support	Support Chat	Онлайн-чат
Customer Support	Call Center	Телефонная поддержка
Customer Support	Email Support	Ответы по почте
Customer Support	Help Center / FAQ	База знаний
Customer Support	Complaint Handling	Работа с негативом
Physical Offline	Retail Store	Магазин, шоурум
Physical Offline	POS Experience	Касса, персонал
Physical Offline	Events & Exhibitions	Выставки, презентации
Physical Offline	Pack-in Materials	Вкладыши, купоны
Physical Offline	Branded Merchandise	Сувениры
Logistics	Unboxing Experience	Распаковка
Logistics	Courier Interaction	Контакт с курьером
Logistics	Damaged / Delay Handling	Проблемные ситуации
Post-Purchase	Feedback Requests	NPS, опросы
Post-Purchase	Reviews & Ratings	Отзывы и ответы бренда
Post-Purchase	Loyalty Programs	Бонусы, статусы
Post-Purchase	Reactivation Campaigns	Возврат клиента
Trust & Reputation	Media Mentions	Упоминания в СМИ
Trust & Reputation	Reviews Platforms	Отзовики
Trust & Reputation	Certifications & Badges	Знаки доверия
Trust & Reputation	Public Statements	Официальные позиции
Employer Brand	Job Listings	Вакансии
Employer Brand	HR Communication	Контакты с кандидатами
Employer Brand	Employee Advocacy	Публичные сотрудники
System Level	OS Notifications	System push
System Level	Voice Assistants	Голосовые ответы
System Level	Smart Devices Displays	Экраны устройств
Crisis & Edge	Crisis Communication	Кризисные сообщения
Crisis & Edge	Account Blocking / Bans	Ограничения
Crisis & Edge	Data Breach Notices	Уведомления о безопасности
Future Touchpoints	AI Assistants Mentions	Упоминания в AI
Future Touchpoints	Digital Avatars	Аватары бренда
Future Touchpoints	AR / Spatial Interfaces	Пространственные интерфейсы